"","HR","upper","lower","p value","model"
"ARNTL",1.14029630049158,1.23514778134073,1.05272880910116,0.00128000254625903,1
"ASAP3",1.20177472525606,1.31233103718045,1.1005321442121,4.25130947032084e-05,1
"ASPN",1.12635997719882,1.21699267336019,1.04247694008906,0.00258266564577833,1
"ASXL3",1.1149428037687,1.21083457469015,1.0266451600077,0.00974809497042979,1
"ATP5SL",1.18347509344793,1.289312007895,1.08632610899072,0.000115889115842219,1
"AVPR1B",1.11855268754905,1.21701525741738,1.02805622788846,0.00924703723721134,1
"B3GALTL",1.14863901802047,1.26415307365934,1.04368024823121,0.00459085626873494,1
"B3GNT9",1.15764201705393,1.28927224480527,1.03945077934342,0.00771828033981331,1
"BAI3",1.17373344589445,1.27207094245994,1.08299793354855,9.52819933591089e-05,1
"BASP1",1.11774281089293,1.21307167676315,1.02990533472555,0.0076846389420643,1
"BAZ2B",1.14513282797482,1.23941323420764,1.05802419847804,0.000787270482778095,1
"BCHE",1.14138042131173,1.2302652965929,1.0589173487715,0.000547923335605733,1
"BIVM",1.22827269064407,1.36353907745138,1.10642505780024,0.000114665954617369,1
"BMI1",1.15010141593221,1.25111805425562,1.05724097132965,0.00113056105879029,1
"BMP1",1.19386933830271,1.34492671886965,1.05977818489417,0.0035557535621331,2
"BMP2",1.13367818614031,1.22442323349643,1.04965847965849,0.00140534174770695,1
