"","HR","upper","lower","p value","model"
"IFI30",0.830898347203467,0.906974345223617,0.761203519174772,3.40673520864181e-05,1
"IFI35",0.885578958686194,0.955636519325535,0.820657306630799,0.00175929760689562,1
"IFI44",0.859136494708258,0.931442107197996,0.792443793162866,0.000230874503691954,1
"IFI44L",0.863933259848491,0.93666052997247,0.796852919055293,0.000390081066703831,1
"IFIH1",0.887547903209216,0.960864305494394,0.819825729800379,0.00322129204622441,1
"IFIT3",0.855681981058844,0.927721200074244,0.789236736909959,0.000157403015565146,1
"IFNGR2",0.891002478699067,0.969674311359539,0.818713466725552,0.00751100833277326,1
"IFT74",0.897463003110156,0.973782091729027,0.827125338196945,0.00937749949181246,1
"IGFLR1",0.898605196432685,0.972865074730029,0.830013657628632,0.00831454100865857,1
"IGHV1-2",0.868243207417293,0.965422898299929,0.780845646559412,0.0090532041307573,1
"IGHV3-23",0.863417297672757,0.957735215974837,0.778387823153945,0.00549704245927952,1
"IGHV3-72",0.856845215072515,0.963722615089245,0.761820581044137,0.00999225353195951,1
"IGJ",0.885539891040773,0.968150654449203,0.809978173356333,0.00755705414519325,1
"IGSF6",0.862341046879882,0.93569493711045,0.794737741587366,0.00037703069028027,1
"IL10RA",0.900665664943908,0.973385361016242,0.833378713608285,0.00826906986720219,1
"IL17RA",0.891292222031107,0.964404779691896,0.823722405551475,0.00422294879621448,1
"IL21R",0.896684923183682,0.969991388082346,0.828918546436277,0.00653052659535781,1
"IL2RG",0.860606477385645,0.932117756828232,0.794581482320814,0.000227777716100093,1
"IL4I1",0.857540878374636,0.954909700680575,0.770100416363382,0.00509766621262361,1
"IL6R",0.855767363545994,0.92460011075359,0.792058936607281,7.94501253482042e-05,1
"IMP3",0.886792451642407,0.960698612823346,0.818571861969113,0.00326467315449331,1
"IMPA2",0.892423397194571,0.966529649106777,0.823999057448796,0.00516752673748056,1
"IPO4",0.868363809132221,0.94475904580981,0.798146054652775,0.0010349620510175,1
"IRAK1",0.825039578651971,0.902072960267704,0.754584536200062,2.41240954072825e-05,1
"IRF1",0.83771951263346,0.905469686389387,0.775038626246236,8.09898093532383e-06,1
"IRF7",0.895516328010043,0.966851526366499,0.829444306455593,0.00477237509445617,1
"IRF9",0.823713795832022,0.893431665470101,0.759436276625573,2.89202376697572e-06,1
"ISG15",0.854920121481645,0.926118504392495,0.78919534665127,0.000122775426280512,1
"ISG20",0.820844722618936,0.885989168411424,0.760490176036185,4.05024298859891e-07,1
"JAK2",0.846518076166591,0.918520207209881,0.780160139811758,6.31882273719967e-05,1
"KIF4A",0.860238391785668,0.938429764565131,0.788562041235886,0.000694851807837992,1
"KLHDC7B",0.858067109416044,0.956497484258765,0.769765918236766,0.00573258221012305,1
"KLK11",0.886906323260353,0.959980364571524,0.81939470354718,0.00296801220971969,1
"KLK5",0.881347965911587,0.956283261221925,0.812284673919673,0.0024163404046398,1
"LAG3",0.892296820951086,0.9678429316461,0.822647550181778,0.00599197921005839,1
"LAGE3",0.889061833383287,0.963486165252772,0.820386396904288,0.00414591015697669,1
"LAMP3",0.835248490314445,0.904713409573224,0.771117166155031,1.00225077475639e-05,1
"LAP3",0.830686097912315,0.914891936349938,0.754230489797271,0.000166176201503937,1
"LAPTM5",0.872788759384812,0.943145390051873,0.807680583018682,0.000582170011345052,1
"LCA5L",0.823894821477774,0.939844049171049,0.722250332336098,0.00393322718478958,1
"LCP1",0.884035906954361,0.95602524176601,0.817467416802682,0.00202974334727832,1
"LGALS9",0.855612878552527,0.945743438082356,0.774071876649058,0.00227597993980573,1
"LILRB4",0.87862212517973,0.950252140378501,0.812391581194287,0.00121180445575422,1
"LMO4",0.888129966053398,0.962150388483672,0.819804103436576,0.00367669726383615,1
"LPAR3",0.885867844229361,0.965295969208685,0.812975359342788,0.00567179982145996,1
"LRP10",0.87813150895656,0.949697422709502,0.811958554991465,0.00114956096823013,1
"LRP8",0.856242950998364,0.930469684082948,0.787937537005266,0.0002532440415684,1
